Name,Bar Code,Price,Amount,Store,Category,Created,Need,Date Added,Expiration Date,Checkbox,Notes
Fish Sauce,,,1,Walmart,International & Ethnic Foods,"February 20, 2026 11:15 PM",Yes,,,No,
Asparagus,,,1,Safeway,Produce,"February 20, 2026 11:15 PM",Yes,,,No,
"Tomatoes, Diced",,,1 pack,Costco,Canned & Jarred,"February 20, 2026 11:15 PM",Yes,,,No,
Frozen Edamame,,,1,Costco,Frozen Foods,"February 20, 2026 11:15 PM",Yes,,,No,
Milk,,,,Costco,Dairy & Eggs,"February 20, 2026 11:15 PM",Yes,,,No,
Bagels,,,"2 ",Amazon,Bakery,"February 20, 2026 11:15 PM",Yes,"February 21, 2026",,No,
Apples,,,6,Safeway,Produce,"February 20, 2026 11:15 PM",Yes,,,No,
Broccoli,,,1 lb,Walmart,Produce,"February 20, 2026 11:15 PM",Yes,"February 20, 2026",,No,
Avocado,,,2 ripe,Safeway,Produce,"February 20, 2026 11:15 PM",Yes,"February 11, 2026",,No,
Rotisserie Chicken,,,1 whole,Costco,Prepared Foods,"February 20, 2026 11:15 PM",Yes,,,No,
"Water, Sparkling",,,12 Pack,Amazon,Beverages,"February 20, 2026 11:15 PM",Yes,,,No,
Garlic,,,1 bulb,Safeway,Produce,"February 20, 2026 11:15 PM",Yes,,,No,
"Juice, Orange",,,1/2 gal,Walmart,Beverages,"February 20, 2026 11:15 PM",Yes,,,No,
Frozen Spinach,,,1 bag,Costco,Frozen Foods,"February 20, 2026 11:15 PM",Yes,,,No,
Tomatoes,,,1 lb,Costco,Produce,"February 20, 2026 11:15 PM",Yes,,,No,
"Bread, Sourdough",,,1 loaf,Safeway,Bakery,"February 20, 2026 11:15 PM",Yes,,,No,
"Milk, Oat",,,1/2 gal,Amazon,Dairy & Eggs,"February 20, 2026 11:15 PM",Yes,,,No,
