Name,Amount,Bar Code,Category,Checkbox,Created,Date Added,Expiration Date,Need,Notes,Price,Store,URL
"Milk, Oat",1/2 gal,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,Yes,,,Amazon,
"Bread, Sourdough",1 loaf,,Bakery,No,"February 20, 2026 11:15 PM",,,Yes,,,Safeway,
Tomatoes,1 lb,,Produce,No,"February 20, 2026 11:15 PM",,,Yes,,,Costco,
Frozen Spinach,1 bag,,Frozen Foods,No,"February 20, 2026 11:15 PM",,,Yes,,,Costco,
"Juice, Orange",1/2 gal,,Beverages,No,"February 20, 2026 11:15 PM",,,Yes,,,Walmart,
Garlic,1 bulb,,Produce,No,"February 20, 2026 11:15 PM",,,Yes,,,Safeway,
Frozen Sweet Potato Fries,1 bag,,Frozen Foods,No,"February 20, 2026 11:15 PM",,,No,,,Safeway,
"Water, Sparkling",12 Pack,,Beverages,No,"February 20, 2026 11:15 PM",,,Yes,,,Amazon,
Rotisserie Chicken,1 whole,,Prepared Foods,No,"February 20, 2026 11:15 PM",,,Yes,,,Costco,
Avocado,2 ripe,,Produce,No,"February 20, 2026 11:15 PM","February 11, 2026",,Yes,,,Safeway,
Turkey Slices,,,Prepared Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Broccoli,1 lb,,Produce,No,"February 20, 2026 11:15 PM","February 20, 2026",,Yes,,,Walmart,
"Monterrey Jack, Shredded",,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Feta,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Greek Yogurt,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Apples,6,,Produce,No,"February 20, 2026 11:15 PM",,,Yes,,,Safeway,
Grapes,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Fresh Mozarella,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Steel-Cut Oats,,,Grains Pasta & Dry Goods,No,"February 20, 2026 11:15 PM",,,No,,,,
"Onions, White",,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Mediterranean Extra Virgin Olive Oil,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Potatoes,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
"Dry Pasta, Penne",,,Grains Pasta & Dry Goods,No,"February 20, 2026 11:15 PM",,,No,,,,
"Bread, Challah",,,Bakery,No,"February 20, 2026 11:15 PM",,,No,,,,
