Name,Assigned To,Tasks Completed,Completion %,Date,Frequency,Inbox,Line,If Progress,Notifications,Room,Show [Date],Show [Schedule],Space 2,Status,Total Tasks,Type,Which Date,notes
https://www.notion.so/2e697e9c2a3180948167d141e7254345?pvs=21,,,0%,"January 26, 2026",Weekly,Yes,_______________,1,,,"🗓️ Schedule: January 26, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,Chores,"January 26, 2026",
New Chore,,,0%,"October 17, 2024",,No,_______________,1,,,"🗓️ Schedule: October 17, 2024",🕝 Time: 00:00 → 00:00,"   ",Not started,,Chores,"October 17, 2024",
New Chore,,,0%,"October 18, 2024",,No,_______________,1,,,"🗓️ Schedule: October 18, 2024",🕝 Time: 00:00 → 00:00,"   ",In progress,,Chores,"October 18, 2024",
New Schedule Plan,,,0%,"December 22, 2023",,Yes,_______________,1,,,"🗓️ Schedule: December 22, 2023",🕝 Time: 00:00 → 00:00,"   ",Not started,,Cleaning Session,"December 22, 2023",
Pantry,,,0%,"January 23, 2026",,Yes,_______________,1,,,"🗓️ Schedule: January 23, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,Chores,"January 23, 2026",
Saturday Kitchen,,,0%,"January 21, 2026",,Yes,_______________,1,,,"🗓️ Schedule: January 21, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,Chores,"January 21, 2026",
Monthly Chore,,,0%,"January 21, 2026",,Yes,_______________,1,,🛁  Bathroom (https://www.notion.so/Bathroom-2ef97e9c2a3181eb8860fe936b7b084a?pvs=21),"🗓️ Schedule: January 21, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,Chores,"January 21, 2026",
Sweep floor,,,0%,,Daily,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Take out trash,,,0%,,Daily,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Wipe down stovetop,,,0%,,Daily,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Wipe down appliances,,,0%,,Weekly,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Mop floor,,,0%,,Weekly,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Clean microwave inside and out,,,0%,,Weekly,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Clean sink and faucet,,,0%,,Daily,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Clean out refrigerator,,,0%,,Weekly,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Wash dishes or load dishwasher,,,0%,,Daily,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Wipe down countertops,,,0%,,Daily,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Disinfect trash can,,,0%,,Weekly,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Organize pantry and cabinets,,,0%,,Monthly,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Wipe down baseboards,,,0%,,Monthly,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Clean refrigerator coils,,,0%,,Monthly,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Degrease range hood,,,0%,,Monthly,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Clean light fixtures,,,0%,,Monthly,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Wipe down cabinet fronts,,,0%,,Weekly,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Deep clean oven,,,0%,,Monthly,Yes,,1,,,🗓️ Schedule:,,,Not started,,Chores,,
Open curtains/blinds,,,0%,,Daily,Yes,,1,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,Chores,,
Vacuum under bed,,,0%,,Monthly,Yes,,1,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,Chores,,
Change bed linens,,,0%,,Weekly,Yes,,1,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,Chores,,
Dust all surfaces,,,0%,,Weekly,Yes,,1,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,Chores,,
Clear nightstands,,,0%,,Daily,Yes,,1,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,Chores,,
Make bed,,,0%,,Daily,Yes,,1,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,Chores,,
Vacuum floor,,,0%,,Weekly,Yes,,1,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,Chores,,
Organize closet,,,0%,,Weekly,Yes,,1,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,Chores,,
Put away clothes,,,0%,,Daily,Yes,,1,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,Chores,,
Clean mirrors,,,0%,,Weekly,Yes,,1,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,Chores,,
