Name,Assigned,Assigned To,Auto Status Suggestion,Completion %,Current Date,Date,Frequency,If Done,If Progress,If/Date,Inbox,Line,Notifications,Room,Show [Date],Show [Schedule],Space 2,Status,Tasks Completed,Total Tasks,Type,Which Date,notes
https://www.notion.so/2e697e9c2a3180948167d141e7254345?pvs=21,"Elijah & Roskens ",,,0%,"May 14, 2026","January 26, 2026",Weekly,0,1,0,Yes,_______________,,,"🗓️ Schedule: January 26, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Chores,"January 26, 2026",
New Chore,,,,0%,"May 14, 2026","October 17, 2024",,0,1,0,No,_______________,,,"🗓️ Schedule: October 17, 2024",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Chores,"October 17, 2024",
New Chore,,,,0%,"May 14, 2026","October 18, 2024",,0,1,0,No,_______________,,,"🗓️ Schedule: October 18, 2024",🕝 Time: 00:00 → 00:00,"   ",In progress,,,Chores,"October 18, 2024",
New Schedule Plan,,,,0%,"May 14, 2026","December 22, 2023",,0,1,0,Yes,_______________,,,"🗓️ Schedule: December 22, 2023",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Cleaning Session,"December 22, 2023",
Pantry,,,,0%,"May 14, 2026","January 23, 2026",,0,1,0,Yes,_______________,,,"🗓️ Schedule: January 23, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Chores,"January 23, 2026",
Saturday Kitchen,,,,0%,"May 14, 2026","January 21, 2026",,0,1,0,Yes,_______________,,,"🗓️ Schedule: January 21, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Chores,"January 21, 2026",
Monthly Chore,,,,0%,"May 14, 2026","January 21, 2026",,0,1,0,Yes,_______________,,🛁  Bathroom (https://www.notion.so/Bathroom-2ef97e9c2a3181eb8860fe936b7b084a?pvs=21),"🗓️ Schedule: January 21, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Chores,"January 21, 2026",
Sweep floor,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Take out trash,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down stovetop,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down appliances,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Mop floor,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Clean microwave inside and out,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Clean sink and faucet,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Clean out refrigerator,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Wash dishes or load dishwasher,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down countertops,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
