Name,Assigned To,Auto Status Suggestion,Completion %,Date,Frequency,If Done,If Progress,Inbox,Notifications,Room,Show [Date],notes,Status
https://www.notion.so/2e697e9c2a3180948167d141e7254345?pvs=21,,,0%,"January 26, 2026",Weekly,0,1,Yes,,,"🗓️ Schedule: January 26, 2026",,Not started
New Chore,,,0%,"October 17, 2024",,0,1,No,,,"🗓️ Schedule: October 17, 2024",,Not started
New Chore,,,0%,"October 18, 2024",,0,1,No,,,"🗓️ Schedule: October 18, 2024",,In progress
New Schedule Plan,,,0%,"December 22, 2023",,0,1,Yes,,,"🗓️ Schedule: December 22, 2023",,Not started
Pantry,,,0%,"January 23, 2026",,0,1,Yes,,,"🗓️ Schedule: January 23, 2026",,Not started
Saturday Kitchen,,,0%,"January 21, 2026",,0,1,Yes,,,"🗓️ Schedule: January 21, 2026",,Not started
Monthly Chore,,,0%,"January 21, 2026",,0,1,Yes,,🛁  Bathroom (https://www.notion.so/Bathroom-2ef97e9c2a3181eb8860fe936b7b084a?pvs=21),"🗓️ Schedule: January 21, 2026",,Not started
Sweep floor,,,0%,,Daily,0,1,Yes,,,🗓️ Schedule:,,Not started
Take out trash,,,0%,,Daily,0,1,Yes,,,🗓️ Schedule:,,Not started
Wipe down stovetop,,,0%,,Daily,0,1,Yes,,,🗓️ Schedule:,,Not started
Wipe down appliances,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Mop floor,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Clean microwave inside and out,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Clean sink and faucet,,,0%,,Daily,0,1,Yes,,,🗓️ Schedule:,,Not started
Clean out refrigerator,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Wash dishes or load dishwasher,,,0%,,Daily,0,1,Yes,,,🗓️ Schedule:,,Not started
Wipe down countertops,,,0%,,Daily,0,1,Yes,,,🗓️ Schedule:,,Not started
Disinfect trash can,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Organize pantry and cabinets,,,0%,,Monthly,0,1,Yes,,,🗓️ Schedule:,,Not started
